3, 1024
0.000000, 0.000000, 5000.000000
1000000.000000, 1000000.000000, 5000.000000
0.000000, 2000000.000000, 5000.000000
704.345176, 1202.392426, 5000.000000
998591.309649, 1000000.000000, 5000.000000
704.345176, 1998797.607574, 5000.000000
2115.054028, 3611.040245, 5000.000000
995769.891944, 1000000.000000, 5000.000000
2115.054028, 1996388.959755, 5000.000000
3884.021367, 6632.541500, 5000.000000
992231.957267, 1000000.000000, 5000.000000
3884.021367, 1993367.458500, 5000.000000
5839.299203, 9974.249992, 5000.000000
988321.401595, 1000000.000000, 5000.000000
5839.299203, 1990025.750008, 5000.000000
7896.058156, 13492.073160, 5000.000000
984207.883687, 1000000.000000, 5000.000000
7896.058156, 1986507.926840, 5000.000000
10012.556503, 17115.300200, 5000.000000
979974.886994, 1000000.000000, 5000.000000
10012.556503, 1982884.699800, 5000.000000
12168.365365, 20809.473903, 5000.000000
975663.269271, 1000000.000000, 5000.000000
12168.365365, 1979190.526097, 5000.000000
14353.600876, 24558.054371, 5000.000000
971292.798247, 1000000.000000, 5000.000000
14353.600876, 1975441.945629, 5000.000000
16563.599989, 28353.365013, 5000.000000
966872.800022, 1000000.000000, 5000.000000
16563.599989, 1971646.634987, 5000.000000
18796.288352, 32192.123124, 5000.000000
962407.423296, 1000000.000000, 5000.000000
18796.288352, 1967807.876876, 5000.000000
21050.879425, 36073.234553, 5000.000000
957898.241150, 1000000.000000, 5000.000000
21050.879425, 1963926.765447, 5000.000000
23327.231833, 39996.706345, 5000.000000
953345.536334, 1000000.000000, 5000.000000
23327.231833, 1960003.293655, 5000.000000
25625.532168, 43963.111353, 5000.000000
948748.935664, 1000000.000000, 5000.000000
25625.532168, 1956036.888647, 5000.000000
27946.138696, 47973.325388, 5000.000000
944107.722608, 1000000.000000, 5000.000000
27946.138696, 1952026.674612, 5000.000000
30289.504629, 52028.398942, 5000.000000
939420.990742, 1000000.000000, 5000.000000
30289.504629, 1947971.601058, 5000.000000
32656.140750, 56129.495405, 5000.000000
934687.718500, 1000000.000000, 5000.000000
32656.140750, 1943870.504595, 5000.000000
35046.597519, 60277.862207, 5000.000000
929906.804961, 1000000.000000, 5000.000000
35046.597519, 1939722.137793, 5000.000000
37461.456845, 64474.818293, 5000.000000
925077.086310, 1000000.000000, 5000.000000
37461.456845, 1935525.181707, 5000.000000
39901.328673, 68721.749811, 5000.000000
920197.342654, 1000000.000000, 5000.000000
39901.328673, 1931278.250189, 5000.000000
42366.850000, 73020.109973, 5000.000000
915266.300000, 1000000.000000, 5000.000000
42366.850000, 1926979.890027, 5000.000000
44858.685137, 77371.421136, 5000.000000
910282.629726, 1000000.000000, 5000.000000
44858.685137, 1922628.578864, 5000.000000
47377.526641, 81777.278161, 5000.000000
905244.946718, 1000000.000000, 5000.000000
47377.526641, 1918222.721839, 5000.000000
49924.096640, 86239.352574, 5000.000000
900151.806720, 1000000.000000, 5000.000000
49924.096640, 1913760.647426, 5000.000000
52499.148413, 90759.397352, 5000.000000
895001.703174, 1000000.000000, 5000.000000
52499.148413, 1909240.602648, 5000.000000
55103.468172, 95339.252233, 5000.000000
889793.063656, 1000000.000000, 5000.000000
55103.468172, 1904660.747767, 5000.000000
57737.877014, 99980.849552, 5000.000000
884524.245973, 1000000.000000, 5000.000000
57737.877014, 1900019.150448, 5000.000000
60403.233047, 104686.220615, 5000.000000
879193.533907, 1000000.000000, 5000.000000
60403.233047, 1895313.779385, 5000.000000
63100.433696, 109457.502650, 5000.000000
873799.132608, 1000000.000000, 5000.000000
63100.433696, 1890542.497350, 5000.000000
65830.418196, 114296.946391, 5000.000000
868339.163607, 1000000.000000, 5000.000000
65830.418196, 1885703.053609, 5000.000000
68594.170291, 119206.924372, 5000.000000
862811.659418, 1000000.000000, 5000.000000
68594.170291, 1880793.075628, 5000.000000
71392.721158, 124189.939983, 5000.000000
857214.557683, 1000000.000000, 5000.000000
71392.721158, 1875810.060017, 5000.000000
74227.152585, 129248.637406, 5000.000000
851545.694831, 1000000.000000, 5000.000000
74227.152585, 1870751.362594, 5000.000000
77098.600412, 134385.812504, 5000.000000
845802.799175, 1000000.000000, 5000.000000
77098.600412, 1865614.187496, 5000.000000
80008.258290, 139604.424799, 5000.000000
839983.483420, 1000000.000000, 5000.000000
80008.258290, 1860395.575201, 5000.000000
82957.381758, 144907.610660, 5000.000000
834085.236485, 1000000.000000, 5000.000000
82957.381758, 1855092.389340, 5000.000000
85947.292703, 150298.697849, 5000.000000
828105.414594, 1000000.000000, 5000.000000
85947.292703, 1849701.302151, 5000.000000
88979.384233, 155781.221611, 5000.000000
822041.231534, 1000000.000000, 5000.000000
88979.384233, 1844218.778389, 5000.000000
92055.126007, 161358.942486, 5000.000000
815889.747987, 1000000.000000, 5000.000000
92055.126007, 1838641.057514, 5000.000000
95176.070080, 167035.866101, 5000.000000
809647.859840, 1000000.000000, 5000.000000
95176.070080, 1832964.133899, 5000.000000
98343.857329, 172816.265177, 5000.000000
803312.285341, 1000000.000000, 5000.000000
98343.857329, 1827183.734823, 5000.000000
101560.224518, 178704.704088, 5000.000000
796879.550964, 1000000.000000, 5000.000000
101560.224518, 1821295.295912, 5000.000000
104827.012091, 184706.066311, 5000.000000
790345.975818, 1000000.000000, 5000.000000
104827.012091, 1815293.933689, 5000.000000
108146.172785, 190825.585206, 5000.000000
783707.654429, 1000000.000000, 5000.000000
108146.172785, 1809174.414794, 5000.000000
111519.781164, 197068.878609, 5000.000000
776960.437672, 1000000.000000, 5000.000000
111519.781164, 1802931.121391, 5000.000000
114950.044194, 203441.987830, 5000.000000
770099.911613, 1000000.000000, 5000.000000
114950.044194, 1796558.012170, 5000.000000
118439.313012, 209951.421738, 5000.000000
763121.373975, 1000000.000000, 5000.000000
118439.313012, 1790048.578262, 5000.000000
121990.096042, 216604.206769, 5000.000000
756019.807915, 1000000.000000, 5000.000000
121990.096042, 1783395.793231, 5000.000000
125605.073648, 223407.943817, 5000.000000
748789.852703, 1000000.000000, 5000.000000
125605.073648, 1776592.056183, 5000.000000
129287.114559, 230370.873197, 5000.000000
741425.770883, 1000000.000000, 5000.000000
129287.114559, 1769629.126803, 5000.000000
133039.294314, 237501.949090, 5000.000000
733921.411372, 1000000.000000, 5000.000000
133039.294314, 1762498.050910, 5000.000000
136864.916052, 244810.925181, 5000.000000
726270.167895, 1000000.000000, 5000.000000
136864.916052, 1755189.074819, 5000.000000
140767.533993, 252308.453584, 5000.000000
718464.932014, 1000000.000000, 5000.000000
140767.533993, 1747691.546416, 5000.000000
144750.980056, 260006.199596, 5000.000000
710498.039887, 1000000.000000, 5000.000000
144750.980056, 1739993.800404, 5000.000000
148819.394132, 267916.975436, 5000.000000
702361.211736, 1000000.000000, 5000.000000
148819.394132, 1732083.024564, 5000.000000
152977.258613, 276054.896867, 5000.000000
694045.482775, 1000000.000000, 5000.000000
152977.258613, 1723945.103133, 5000.000000
157229.437937, 284435.567579, 5000.000000
685541.124127, 1000000.000000, 5000.000000
157229.437937, 1715564.432421, 5000.000000
161581.224035, 293076.297443, 5000.000000
676837.551931, 1000000.000000, 5000.000000
161581.224035, 1706923.702557, 5000.000000
166038.388762, 301996.362422, 5000.000000
667923.222475, 1000000.000000, 5000.000000
166038.388762, 1698003.637578, 5000.000000
170607.244648, 311217.316050, 5000.000000
658785.510705, 1000000.000000, 5000.000000
170607.244648, 1688782.683950, 5000.000000
175294.715564, 320763.365295, 5000.000000
649410.568873, 1000000.000000, 5000.000000
175294.715564, 1679236.634705, 5000.000000
180108.419326, 330661.827459, 5000.000000
639783.161349, 1000000.000000, 5000.000000
180108.419326, 1669338.172541, 5000.000000
185056.764670, 340943.690094, 5000.000000
629886.470660, 1000000.000000, 5000.000000
185056.764670, 1659056.309906, 5000.000000
190149.065671, 351644.303112, 5000.000000
619701.868659, 1000000.000000, 5000.000000
